Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
closeBrowser,Chrome 64.0.3282.167,,2018-03-06 16:14:26,2018-03-06 16:14:27,"0,831s",PASSED
,,,,,,
Test Cases/Profile-AddPassport,Chrome 64.0.3282.167,,2018-03-06 16:14:27,2018-03-06 16:14:53,"25,668s",PASSED
openBrowser,Chrome 64.0.3282.167,,2018-03-06 16:14:27,2018-03-06 16:14:29,"1,904s",PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-03-06 16:14:29,2018-03-06 16:14:29,"0,194s",PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-03-06 16:14:29,2018-03-06 16:14:33,"4,261s",PASSED
waitForPageLoad,Chrome 64.0.3282.167,,2018-03-06 16:14:33,2018-03-06 16:14:35,"1,596s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:35,2018-03-06 16:14:37,"1,719s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:37,2018-03-06 16:14:38,"0,881s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:38,2018-03-06 16:14:39,"0,992s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:14:39,2018-03-06 16:14:43,"4,128s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:43,2018-03-06 16:14:43,"0,285s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:43,2018-03-06 16:14:43,"0,281s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:14:43,2018-03-06 16:14:44,"0,249s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:14:44,2018-03-06 16:14:49,"5,314s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:49,2018-03-06 16:14:50,"0,748s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:14:50,2018-03-06 16:14:50,"0,415s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:14:50,2018-03-06 16:14:50,"0,099s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:14:50,2018-03-06 16:14:50,"0,065s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:14:50,2018-03-06 16:14:50,"0,081s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:14:50,2018-03-06 16:14:50,"0,148s",PASSED
waitForAlert,Chrome 64.0.3282.167,,2018-03-06 16:14:50,2018-03-06 16:14:51,"0,035s",PASSED
acceptAlert,Chrome 64.0.3282.167,,2018-03-06 16:14:51,2018-03-06 16:14:51,"0,031s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:14:51,2018-03-06 16:14:52,"1,344s",PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-03-06 16:14:52,2018-03-06 16:14:53,"0,713s",PASSED
,,,,,,
Test Cases/Profile-AddIDCard,Chrome 64.0.3282.167,,2018-03-06 16:14:53,2018-03-06 16:15:16,"23,693s",PASSED
openBrowser,Chrome 64.0.3282.167,,2018-03-06 16:14:53,2018-03-06 16:14:55,"1,711s",PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-03-06 16:14:55,2018-03-06 16:14:55,"0,189s",PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-03-06 16:14:55,2018-03-06 16:14:59,"4,235s",PASSED
waitForPageLoad,Chrome 64.0.3282.167,,2018-03-06 16:14:59,2018-03-06 16:15:01,"1,574s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:01,2018-03-06 16:15:02,"1,656s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:02,2018-03-06 16:15:04,"1,399s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:04,2018-03-06 16:15:04,"0,594s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:15:04,2018-03-06 16:15:08,"3,689s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:15:08,2018-03-06 16:15:08,"0,263s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:15:08,2018-03-06 16:15:08,"0,212s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:15:08,2018-03-06 16:15:09,"0,229s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:15:09,2018-03-06 16:15:13,"4,236s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:13,2018-03-06 16:15:14,"0,743s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:14,"0,440s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:14,"0,084s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:14,"0,115s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:14,"0,096s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:14,"0,112s",PASSED
waitForAlert,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:14,"0,004s",PASSED
acceptAlert,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:14,"0,016s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:15:14,2018-03-06 16:15:16,"1,166s",PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-03-06 16:15:16,2018-03-06 16:15:16,"0,735s",PASSED
,,,,,,
Test Cases/Profile-AddDrivingLicence,Chrome 64.0.3282.167,,2018-03-06 16:15:16,2018-03-06 16:15:39,"23,097s",PASSED
openBrowser,Chrome 64.0.3282.167,,2018-03-06 16:15:17,2018-03-06 16:15:18,"1,747s",PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-03-06 16:15:18,2018-03-06 16:15:19,"0,144s",PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-03-06 16:15:19,2018-03-06 16:15:23,"4,156s",PASSED
waitForPageLoad,Chrome 64.0.3282.167,,2018-03-06 16:15:23,2018-03-06 16:15:24,"1,497s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:24,2018-03-06 16:15:26,"1,606s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:26,2018-03-06 16:15:27,"0,889s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:27,2018-03-06 16:15:27,"0,686s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:15:27,2018-03-06 16:15:31,"3,748s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:15:31,2018-03-06 16:15:31,"0,262s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:15:31,2018-03-06 16:15:32,"0,204s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-06 16:15:32,2018-03-06 16:15:32,"0,180s",PASSED
selectOptionByValue,Chrome 64.0.3282.167,,2018-03-06 16:15:32,2018-03-06 16:15:36,"4,253s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:36,2018-03-06 16:15:37,"0,732s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:15:37,2018-03-06 16:15:37,"0,440s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:15:37,2018-03-06 16:15:37,"0,081s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:15:37,2018-03-06 16:15:37,"0,049s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:15:37,2018-03-06 16:15:37,"0,087s",PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-03-06 16:15:37,2018-03-06 16:15:37,"0,080s",PASSED
click,Chrome 64.0.3282.167,,2018-03-06 16:15:37,2018-03-06 16:15:38,"0,101s",PASSED
waitForAlert,Chrome 64.0.3282.167,,2018-03-06 16:15:38,2018-03-06 16:15:38,"0,009s",PASSED
acceptAlert,Chrome 64.0.3282.167,,2018-03-06 16:15:38,2018-03-06 16:15:38,"0,008s",PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-03-06 16:15:38,2018-03-06 16:15:39,"1,143s",PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-03-06 16:15:39,2018-03-06 16:15:39,"0,695s",PASSED
